fold,model,backend,train_size,valid_size,purge_days,train_start,train_end,valid_start,valid_end,mag_rmse,mag_mae,mag_medae,mag_weighted_rmse,time_rmse,time_mae,time_medae,time_log_rmse,time_hit_rate,time_asymmetric_mae,time_asymmetric_rmse,mag_energy_ratio_median,mag_energy_ratio_mean
1,baseline,lightgbm_asymmetric_time_cuda,498,496,30.0,1970-01-04,1984-05-26,1984-07-02,1993-12-09,0.5447164124163544,0.43793897458719067,0.38987211941045263,0.656867337475663,8.522080246446597,6.769289993622129,5.478345339289578,0.42358953573028685,0.14112903225806453,9.445405894041004,9.711062480213334,3.844221704673971,13.70943411937928
1,xgboost,xgboost,498,496,30.0,1970-01-04,1984-05-26,1984-07-02,1993-12-09,0.5398548361990716,0.4296098652193623,0.3600536823272704,0.6633579031212955,8.74621786311161,6.778584057492081,5.186413509127021,0.4208045396066614,0.14516129032258066,8.611703807360406,9.406854823463192,3.4680120024612826,13.673163945746337
2,baseline,lightgbm_asymmetric_time_cuda,994,496,30.0,1970-01-04,1993-10-24,1993-12-10,2002-01-28,0.5837113985620709,0.47968619470196605,0.4383996184520118,0.6893532764103968,8.452745892445416,6.796145961187838,5.331544887019625,0.4150824956801765,0.11491935483870967,9.212655429654419,9.385223959801257,4.545691484866156,12.90211315977912
2,xgboost,xgboost,994,496,30.0,1970-01-04,1993-10-24,1993-12-10,2002-01-28,0.5717077466678064,0.472240232113869,0.4204035282135008,0.680457982734895,8.665814194583561,6.718056102239108,4.867186468798112,0.40679132346028896,0.11491935483870967,8.375433557013563,9.15939182725776,4.271795485643409,11.97234718019716
3,baseline,lightgbm_asymmetric_time_cuda,1490,496,30.0,1970-01-04,2002-01-02,2002-02-03,2008-11-22,0.5394670762371484,0.42848998253640314,0.34067166576803265,0.6414647854096885,8.534328734617091,7.013953152567705,5.930157384265176,0.4252702013149135,0.09475806451612903,9.64256060805686,9.591008991633336,3.243463112626305,10.51293450124758
3,xgboost,xgboost,1490,496,30.0,1970-01-04,2002-01-02,2002-02-03,2008-11-22,0.5304049603238411,0.4236507918757777,0.33994269371032715,0.6406022389632561,8.66401470955967,6.901292152588017,5.233283707085906,0.41737956312981916,0.08266129032258064,8.863697452235856,9.33062939494962,3.235296583471715,10.127465407600642
4,baseline,lightgbm_asymmetric_time_cuda,1981,496,30.0,1970-01-04,2008-10-23,2008-11-22,2016-02-17,0.5134256623992597,0.41151801893444495,0.3545724222044817,0.6136904953845838,8.2116519446807,6.670010083497109,5.739913106867682,0.4214590383925971,0.13911290322580644,9.189810973191195,9.259209993963028,3.402974973080445,9.564055205574801
4,xgboost,xgboost,1981,496,30.0,1970-01-04,2008-10-23,2008-11-22,2016-02-17,0.5017295296838841,0.402954400854726,0.3394227504730223,0.6026562887228584,8.461709644584515,6.707239911560621,5.2169344568701765,0.4114635808459539,0.11693548387096774,8.519288468944906,9.07420173648544,3.2294961801454134,8.424012315128085
5,baseline,lightgbm_asymmetric_time_cuda,2479,496,30.0,1970-01-04,2016-01-31,2016-03-02,2023-12-21,0.4832458705725547,0.37925860648939447,0.3273465711697803,0.5846542794622661,8.132244948062262,6.6183378235130945,5.409038150318002,0.4022889635573272,0.10685483870967742,9.185534951155432,9.141743785167419,3.0975617638804085,8.176340198408633
5,xgboost,xgboost,2479,496,30.0,1970-01-04,2016-01-31,2016-03-02,2023-12-21,0.47217443842982754,0.373534315401508,0.31574568748474086,0.57829815143405,8.423318043678972,6.608215437685275,5.051754063203701,0.39606529554056974,0.1028225806451613,8.40940087192662,8.988175770568462,2.9759625376742957,7.68417914960501
